ThreadsPerBlock,Blocks,AvgTimeMs
1,6249,0.409578
2,3125,0.127954
3,2083,0.083695
4,1563,0.057584
5,1250,0.045760
6,1042,0.042085
7,893,0.037898
8,782,0.032785
9,695,0.028954
10,625,0.028622
11,569,0.028383
12,521,0.028400
13,481,0.030621
14,447,0.029639
15,417,0.024104
16,391,0.023800
17,368,0.023547
18,348,0.023221
19,329,0.022774
20,313,0.023126
21,298,0.022018
22,285,0.021855
23,272,0.021938
24,261,0.021879
25,250,0.022083
26,241,0.021681
27,232,0.021745
28,224,0.021347
29,216,0.025737
30,209,0.025758
31,202,0.021365
32,196,0.020532
33,190,0.023661
34,184,0.023962
35,179,0.023881
36,174,0.024734
37,169,0.023402
38,165,0.023350
39,161,0.022792
40,157,0.022753
41,153,0.022658
42,149,0.022543
43,146,0.022271
44,143,0.022652
45,139,0.021998
46,136,0.021941
47,133,0.021687
48,131,0.021775
49,128,0.021828
50,125,0.022594
51,123,0.021803
52,121,0.021686
53,118,0.021593
54,116,0.021566
55,114,0.021508
56,112,0.021540
57,110,0.021216
58,108,0.022413
59,106,0.021208
60,105,0.021879
61,103,0.020813
62,101,0.020654
63,100,0.020839
64,98,0.020849
65,97,0.022632
66,95,0.023147
67,94,0.022662
68,92,0.022668
69,91,0.022449
70,90,0.023065
71,89,0.022133
72,87,0.022730
73,86,0.022039
74,85,0.021673
75,84,0.021685
76,83,0.022031
77,82,0.021982
78,81,0.021833
79,80,0.021650
80,79,0.021480
81,78,0.021734
82,77,0.021749
83,76,0.022051
84,75,0.021613
85,74,0.021459
86,73,0.021574
87,72,0.022105
88,72,0.021739
89,71,0.021532
90,70,0.021229
91,69,0.021079
92,68,0.021203
93,68,0.020797
94,67,0.020925
95,66,0.020914
96,66,0.020944
97,65,0.022263
98,64,0.022499
99,64,0.023166
100,63,0.023434
101,62,0.023275
102,62,0.022820
103,61,0.022019
104,61,0.021915
105,60,0.021736
106,59,0.021845
107,59,0.021848
108,58,0.021554
109,58,0.021839
110,57,0.021698
111,57,0.021472
112,56,0.021307
113,56,0.021352
114,55,0.021779
115,55,0.021523
116,54,0.021139
117,54,0.021073
118,53,0.020980
119,53,0.021054
120,53,0.020569
121,52,0.020874
122,52,0.020974
123,51,0.020650
124,51,0.020665
125,50,0.020894
126,50,0.020979
127,50,0.021045
128,49,0.021671
129,49,0.022671
130,49,0.022890
131,48,0.022975
132,48,0.022998
133,47,0.022941
134,47,0.022899
135,47,0.022111
136,46,0.021791
137,46,0.021687
138,46,0.021604
139,45,0.021793
140,45,0.021577
141,45,0.021411
142,45,0.021478
143,44,0.021476
144,44,0.021420
145,44,0.021410
146,43,0.021338
147,43,0.021144
148,43,0.021148
149,42,0.021183
150,42,0.021437
151,42,0.021918
152,42,0.021466
153,41,0.021117
154,41,0.020868
155,41,0.020979
156,41,0.020877
157,40,0.020887
158,40,0.020811
159,40,0.020913
160,40,0.020920
161,39,0.021620
162,39,0.021891
163,39,0.021892
164,39,0.022012
165,38,0.021931
166,38,0.021708
167,38,0.021941
168,38,0.021652
169,37,0.021520
170,37,0.021430
171,37,0.021581
172,37,0.021433
173,37,0.021660
174,36,0.021689
175,36,0.021972
176,36,0.021847
177,36,0.021872
178,36,0.021737
179,35,0.021717
180,35,0.021799
181,35,0.022026
182,35,0.021754
183,35,0.021868
184,34,0.022052
185,34,0.021959
186,34,0.021856
187,34,0.022116
188,34,0.022127
189,34,0.022262
190,33,0.022429
191,33,0.022220
192,33,0.022364
193,33,0.023022
194,33,0.023240
195,33,0.023443
196,32,0.023513
197,32,0.023556
198,32,0.023355
199,32,0.023485
200,32,0.023518
201,32,0.023147
202,31,0.022682
203,31,0.022420
204,31,0.022362
205,31,0.022156
206,31,0.021893
207,31,0.021822
208,31,0.021616
209,30,0.021605
210,30,0.021652
211,30,0.021458
212,30,0.021331
213,30,0.021145
214,30,0.021128
215,30,0.021033
216,29,0.021044
217,29,0.021066
218,29,0.020991
219,29,0.020931
220,29,0.020896
221,29,0.020987
222,29,0.021286
223,29,0.021224
224,28,0.020899
225,28,0.022224
226,28,0.022018
227,28,0.022009
228,28,0.022227
229,28,0.022248
230,28,0.022129
231,28,0.022145
232,27,0.022006
233,27,0.021967
234,27,0.021833
235,27,0.021763
236,27,0.021762
237,27,0.021785
238,27,0.021742
239,27,0.021535
240,27,0.021591
241,26,0.021550
242,26,0.021817
243,26,0.021882
244,26,0.022446
245,26,0.022173
246,26,0.021890
247,26,0.021532
248,26,0.021403
249,26,0.021028
250,25,0.021213
251,25,0.021005
252,25,0.021115
253,25,0.021026
254,25,0.021028
255,25,0.021213
256,25,0.021056
257,25,0.021383
258,25,0.021385
259,25,0.021193
260,25,0.021351
261,24,0.021519
262,24,0.021495
263,24,0.021442
264,24,0.021441
265,24,0.021452
266,24,0.021398
267,24,0.021375
268,24,0.021625
269,24,0.021644
270,24,0.021651
271,24,0.021645
272,23,0.021446
273,23,0.021597
274,23,0.021560
275,23,0.021758
276,23,0.021786
277,23,0.021738
278,23,0.021859
279,23,0.021892
280,23,0.021851
281,23,0.021953
282,23,0.021946
283,23,0.021958
284,23,0.022008
285,22,0.022006
286,22,0.022148
287,22,0.022058
288,22,0.021960
289,22,0.022156
290,22,0.022046
291,22,0.021858
292,22,0.021834
293,22,0.022096
294,22,0.021971
295,22,0.022312
296,22,0.022110
297,22,0.021811
298,21,0.021931
299,21,0.021980
300,21,0.021805
301,21,0.021648
302,21,0.021285
303,21,0.021185
304,21,0.020963
305,21,0.020681
306,21,0.020757
307,21,0.020797
308,21,0.020744
309,21,0.020809
310,21,0.020522
311,21,0.020362
312,21,0.020430
313,20,0.020488
314,20,0.020561
315,20,0.020552
316,20,0.020561
317,20,0.020560
318,20,0.020583
319,20,0.020746
320,20,0.020785
321,20,0.020941
322,20,0.020991
323,20,0.021065
324,20,0.021055
325,20,0.021104
326,20,0.021145
327,20,0.021169
328,20,0.021223
329,19,0.021188
330,19,0.021218
331,19,0.021269
332,19,0.021367
333,19,0.021355
334,19,0.021301
335,19,0.021176
336,19,0.021304
337,19,0.021225
