ThreadsPerBlock,Blocks,AvgTimeMs
1,6249,2.689405
2,3125,1.750097
3,2083,1.176014
4,1563,0.694149
5,1250,0.560156
6,1042,0.473308
7,893,0.411503
8,782,0.366453
9,695,0.328994
10,625,0.300453
11,569,0.276802
12,521,0.257428
13,481,0.241826
14,447,0.227930
15,417,0.214550
16,391,0.202934
17,368,0.193508
18,348,0.187018
19,329,0.178731
20,313,0.173892
21,298,0.165404
22,285,0.160468
23,272,0.160275
24,261,0.149560
25,250,0.147334
26,241,0.147931
27,232,0.138323
28,224,0.136012
29,216,0.135206
30,209,0.136389
31,202,0.134320
32,196,0.125906
33,190,0.175779
34,184,0.170527
35,179,0.166748
36,174,0.162899
37,169,0.159256
38,165,0.154238
39,161,0.150144
40,157,0.147954
41,153,0.145278
42,149,0.142222
43,146,0.139350
44,143,0.136681
45,139,0.134640
46,136,0.133806
47,133,0.132929
48,131,0.130662
49,128,0.131407
50,125,0.128866
51,123,0.127600
52,121,0.125107
53,118,0.124038
54,116,0.123248
55,114,0.122421
56,112,0.122473
57,110,0.121934
58,108,0.122148
59,106,0.121485
60,105,0.122589
61,103,0.123499
62,101,0.121134
63,100,0.119025
64,98,0.118556
65,97,0.129674
66,95,0.130983
67,94,0.130420
68,92,0.129717
69,91,0.127413
70,90,0.127515
71,89,0.127773
72,87,0.127805
73,86,0.127777
74,85,0.126593
75,84,0.126253
76,83,0.125435
77,82,0.123507
78,81,0.125347
79,80,0.125551
80,79,0.124220
81,78,0.123717
82,77,0.123416
83,76,0.122392
84,75,0.122048
85,74,0.122008
86,73,0.122041
87,72,0.122521
88,72,0.122918
89,71,0.122713
90,70,0.124151
91,69,0.124377
92,68,0.122140
93,68,0.123616
94,67,0.123438
95,66,0.119552
96,66,0.120528
97,65,0.130879
98,64,0.131195
99,64,0.129459
100,63,0.128959
101,62,0.130421
102,62,0.126862
103,61,0.126147
104,61,0.137596
105,60,0.125103
106,59,0.123848
107,59,0.122467
108,58,0.122433
109,58,0.123063
110,57,0.122709
111,57,0.122392
112,56,0.122947
113,56,0.123448
114,55,0.123637
115,55,0.122317
116,54,0.122764
117,54,0.122293
118,53,0.122090
119,53,0.120978
120,53,0.120831
121,52,0.120983
122,52,0.119607
123,51,0.118778
124,51,0.117428
125,50,0.116920
126,50,0.116725
127,50,0.116500
128,49,0.116513
129,49,0.121868
130,49,0.121441
131,48,0.121517
132,48,0.121524
133,47,0.121842
134,47,0.122042
135,47,0.122009
136,46,0.121601
137,46,0.121362
138,46,0.121782
139,45,0.121736
140,45,0.121062
141,45,0.121653
142,45,0.121383
143,44,0.121196
144,44,0.121310
145,44,0.120388
146,43,0.120050
147,43,0.120493
148,43,0.121055
149,42,0.119528
150,42,0.118620
151,42,0.118492
152,42,0.118745
153,41,0.118806
154,41,0.119263
155,41,0.118885
156,41,0.117606
157,40,0.117684
158,40,0.117907
159,40,0.117594
160,40,0.117638
161,39,0.127723
162,39,0.127456
163,39,0.126563
164,39,0.126655
165,38,0.125699
166,38,0.126047
167,38,0.125844
168,38,0.125864
169,37,0.124810
170,37,0.124756
171,37,0.125016
172,37,0.123834
173,37,0.124208
174,36,0.124045
175,36,0.124304
176,36,0.124541
177,36,0.123743
178,36,0.123307
179,35,0.122581
180,35,0.122895
181,35,0.122890
182,35,0.122719
183,35,0.121185
184,34,0.120544
185,34,0.119178
186,34,0.119356
187,34,0.119286
188,34,0.118797
189,34,0.118902
190,33,0.118765
191,33,0.118808
192,33,0.118770
193,33,0.120340
194,33,0.119653
195,33,0.119574
196,32,0.119484
197,32,0.119974
198,32,0.121118
199,32,0.121846
200,32,0.121791
201,32,0.124796
202,31,0.121834
203,31,0.121100
204,31,0.120244
205,31,0.120785
206,31,0.132189
207,31,0.122292
208,31,0.121938
209,30,0.121716
210,30,0.121469
211,30,0.121584
212,30,0.122198
213,30,0.122909
214,30,0.122836
215,30,0.122893
216,29,0.122647
217,29,0.121863
218,29,0.121245
219,29,0.120961
220,29,0.120480
221,29,0.120589
222,29,0.119918
223,29,0.118840
224,28,0.118844
225,28,0.122145
226,28,0.121245
227,28,0.121748
228,28,0.122276
229,28,0.122422
230,28,0.122114
231,28,0.122240
232,27,0.121611
233,27,0.120729
234,27,0.119802
235,27,0.119501
236,27,0.119697
237,27,0.120051
238,27,0.119301
239,27,0.118875
240,27,0.119014
241,26,0.119246
242,26,0.119485
243,26,0.119589
244,26,0.118833
245,26,0.118492
246,26,0.118752
247,26,0.118066
248,26,0.118944
249,26,0.118759
250,25,0.119221
251,25,0.119433
252,25,0.119482
253,25,0.120008
254,25,0.119702
255,25,0.119496
256,25,0.118922
257,25,0.119861
258,25,0.119970
259,25,0.119633
260,25,0.119075
261,24,0.119628
262,24,0.120242
263,24,0.120649
264,24,0.120675
265,24,0.120523
266,24,0.120678
267,24,0.121176
268,24,0.121168
269,24,0.121011
270,24,0.120950
271,24,0.121507
272,23,0.121938
273,23,0.122411
274,23,0.122503
275,23,0.122183
276,23,0.121620
277,23,0.121063
278,23,0.121938
279,23,0.122683
280,23,0.122828
281,23,0.122403
282,23,0.121925
283,23,0.121543
284,23,0.120790
285,22,0.119856
286,22,0.119299
287,22,0.118876
288,22,0.120498
289,22,0.125432
290,22,0.124451
291,22,0.123403
292,22,0.123042
293,22,0.122630
294,22,0.122277
295,22,0.122223
296,22,0.122419
297,22,0.122606
298,21,0.122350
299,21,0.122580
300,21,0.122614
301,21,0.121491
302,21,0.121361
303,21,0.121529
304,21,0.120631
305,21,0.119153
306,21,0.118903
307,21,0.118711
308,21,0.118876
309,21,0.128633
310,21,0.117795
311,21,0.116833
312,21,0.116755
313,20,0.117051
314,20,0.117273
315,20,0.117213
316,20,0.117166
317,20,0.116797
318,20,0.117341
319,20,0.117726
320,20,0.117717
321,20,0.120962
322,20,0.120842
323,20,0.120716
324,20,0.121027
325,20,0.121229
326,20,0.121014
327,20,0.120718
328,20,0.120378
329,19,0.120225
330,19,0.120079
331,19,0.120265
332,19,0.120355
333,19,0.120426
334,19,0.120303
335,19,0.120623
336,19,0.119899
337,19,0.119220
338,19,0.118359
339,19,0.118256
340,19,0.118169
341,19,0.118079
342,19,0.117940
343,19,0.117723
344,19,0.117462
345,19,0.117239
346,19,0.117159
347,19,0.117121
348,18,0.117182
349,18,0.116943
350,18,0.116515
351,18,0.116457
352,18,0.116248
353,18,0.118662
354,18,0.118869
355,18,0.119203
356,18,0.118917
357,18,0.119266
358,18,0.118572
359,18,0.118406
360,18,0.118374
361,18,0.118342
362,18,0.118699
363,18,0.118237
364,18,0.117923
365,18,0.117622
366,18,0.117251
367,18,0.117288
368,17,0.117234
369,17,0.116999
370,17,0.116454
371,17,0.116804
372,17,0.116610
373,17,0.116854
374,17,0.116092
375,17,0.116649
376,17,0.115890
377,17,0.116677
378,17,0.116685
379,17,0.117399
380,17,0.117177
381,17,0.117075
382,17,0.116200
383,17,0.116156
384,17,0.116160
385,17,0.119880
386,17,0.119313
387,17,0.119251
388,17,0.118719
389,17,0.118453
390,17,0.117989
391,16,0.117469
392,16,0.116352
393,16,0.117211
394,16,0.118318
395,16,0.119223
396,16,0.119464
397,16,0.119930
398,16,0.120913
399,16,0.120710
400,16,0.121289
401,16,0.121234
402,16,0.121437
403,16,0.121149
404,16,0.121205
405,16,0.120731
406,16,0.120715
407,16,0.120469
408,16,0.120384
409,16,0.119856
410,16,0.119874
411,16,0.129954
412,16,0.119515
413,16,0.119364
414,16,0.119188
415,16,0.119095
416,16,0.118889
417,15,0.121130
418,15,0.121225
419,15,0.120947
420,15,0.120610
421,15,0.120552
422,15,0.119768
423,15,0.119978
424,15,0.119983
425,15,0.119300
426,15,0.119641
427,15,0.118924
428,15,0.119458
429,15,0.118901
430,15,0.118364
431,15,0.118349
432,15,0.118733
433,15,0.118647
434,15,0.118073
435,15,0.117398
436,15,0.116663
437,15,0.116755
438,15,0.116586
439,15,0.116583
440,15,0.116626
441,15,0.116685
442,15,0.116372
443,15,0.116128
444,15,0.115939
445,15,0.116239
446,15,0.115972
447,14,0.115250
448,14,0.115231
449,14,0.116646
450,14,0.116943
451,14,0.117019
452,14,0.117228
453,14,0.117405
454,14,0.117263
455,14,0.117149
456,14,0.117438
457,14,0.117364
458,14,0.117520
459,14,0.117691
460,14,0.117886
461,14,0.118270
462,14,0.118826
463,14,0.119381
464,14,0.119714
465,14,0.119740
466,14,0.120080
467,14,0.119956
468,14,0.120121
469,14,0.120200
470,14,0.120167
471,14,0.119878
472,14,0.119794
473,14,0.119788
474,14,0.119833
475,14,0.119725
476,14,0.119774
477,14,0.120181
478,14,0.120161
479,14,0.120695
480,14,0.121280
481,13,0.122808
482,13,0.122919
483,13,0.123103
484,13,0.122904
485,13,0.123061
486,13,0.122246
487,13,0.121750
488,13,0.122294
489,13,0.122149
490,13,0.122410
491,13,0.122478
492,13,0.121930
493,13,0.121828
494,13,0.121485
495,13,0.120797
496,13,0.120786
497,13,0.120769
498,13,0.120802
499,13,0.120905
500,13,0.121431
501,13,0.122121
502,13,0.122360
503,13,0.122855
504,13,0.123621
505,13,0.123606
506,13,0.124086
507,13,0.122961
508,13,0.122846
509,13,0.122466
510,13,0.122438
511,13,0.122095
512,13,0.122081
513,13,0.124235
514,13,0.114117
515,13,0.114556
516,13,0.114926
517,13,0.115504
518,13,0.116055
519,13,0.116577
520,13,0.116609
521,12,0.116508
522,12,0.116765
523,12,0.116307
524,12,0.115735
525,12,0.115069
526,12,0.113919
527,12,0.114886
528,12,0.114966
529,12,0.114838
530,12,0.115175
531,12,0.115338
532,12,0.115257
533,12,0.115034
534,12,0.114843
535,12,0.114983
536,12,0.115230
537,12,0.114942
538,12,0.115150
539,12,0.115072
540,12,0.116240
541,12,0.116753
542,12,0.116874
543,12,0.117122
544,12,0.117697
545,12,0.120686
546,12,0.120619
547,12,0.120547
548,12,0.120583
549,12,0.120454
550,12,0.120678
551,12,0.120612
552,12,0.120501
553,12,0.120589
554,12,0.120582
555,12,0.120952
556,12,0.120723
557,12,0.120616
558,12,0.120002
559,12,0.119851
560,12,0.119870
561,12,0.119586
562,12,0.119539
563,12,0.119345
564,12,0.119395
565,12,0.119110
566,12,0.119070
567,12,0.118806
568,12,0.119114
569,11,0.119153
570,11,0.119407
571,11,0.119510
572,11,0.119700
573,11,0.119911
574,11,0.119871
575,11,0.119523
576,11,0.119675
577,11,0.119750
578,11,0.119113
579,11,0.119212
580,11,0.118441
581,11,0.118033
582,11,0.117915
583,11,0.117703
584,11,0.117756
585,11,0.117694
586,11,0.118004
587,11,0.117797
588,11,0.117522
589,11,0.117413
590,11,0.117163
591,11,0.117126
592,11,0.117667
593,11,0.117472
594,11,0.117428
595,11,0.117851
596,11,0.117869
597,11,0.118454
598,11,0.117584
599,11,0.116623
600,11,0.116968
601,11,0.115224
602,11,0.115237
603,11,0.114661
604,11,0.115613
605,11,0.115767
606,11,0.116356
607,11,0.117190
608,11,0.116400
609,11,0.117459
610,11,0.115436
611,11,0.115081
612,11,0.115085
613,11,0.115121
614,11,0.115175
615,11,0.115135
616,11,0.125683
617,11,0.115844
618,11,0.115580
619,11,0.115583
620,11,0.115379
621,11,0.114809
622,11,0.114861
623,11,0.114776
624,11,0.114625
625,10,0.114271
626,10,0.114249
627,10,0.114378
628,10,0.114606
629,10,0.114256
630,10,0.114305
631,10,0.114161
632,10,0.113993
633,10,0.114293
634,10,0.114184
635,10,0.114248
636,10,0.114062
637,10,0.113696
638,10,0.113867
639,10,0.113794
640,10,0.113874
641,10,0.115882
642,10,0.116103
643,10,0.116378
644,10,0.117047
645,10,0.117497
646,10,0.117931
647,10,0.118386
648,10,0.118672
649,10,0.119054
650,10,0.119253
651,10,0.119268
652,10,0.119098
653,10,0.118999
654,10,0.118703
655,10,0.118468
656,10,0.118822
657,10,0.118937
658,10,0.119246
659,10,0.119243
660,10,0.118988
661,10,0.119286
662,10,0.119138
663,10,0.118795
664,10,0.119213
665,10,0.119281
666,10,0.119473
667,10,0.119614
668,10,0.119800
669,10,0.119935
670,10,0.120111
671,10,0.121206
672,10,0.121137
673,10,0.125095
674,10,0.125349
675,10,0.124792
676,10,0.124548
677,10,0.124461
678,10,0.123369
679,10,0.123193
680,10,0.122986
681,10,0.122271
682,10,0.122554
683,10,0.122514
684,10,0.122369
685,10,0.122094
686,10,0.122037
687,10,0.122023
688,10,0.122153
689,10,0.121811
690,10,0.121622
691,10,0.122632
692,10,0.122247
693,10,0.123177
694,10,0.123204
695,9,0.122913
696,9,0.123063
697,9,0.122808
698,9,0.122481
699,9,0.121922
700,9,0.121567
701,9,0.121552
702,9,0.121382
703,9,0.120518
704,9,0.123508
705,9,0.122780
706,9,0.122728
707,9,0.122595
708,9,0.122776
709,9,0.122700
710,9,0.123196
711,9,0.122846
712,9,0.122781
713,9,0.122940
714,9,0.122574
715,9,0.122640
716,9,0.122898
717,9,0.122914
718,9,0.133162
719,9,0.123208
720,9,0.123357
721,9,0.123408
722,9,0.123674
723,9,0.123481
724,9,0.123218
725,9,0.123311
726,9,0.122839
727,9,0.122951
728,9,0.122797
729,9,0.122669
730,9,0.123101
731,9,0.123218
732,9,0.123394
733,9,0.123018
734,9,0.123125
735,9,0.123057
736,9,0.119850
737,9,0.125209
738,9,0.123931
739,9,0.125347
740,9,0.125472
741,9,0.125003
742,9,0.125902
743,9,0.121675
744,9,0.125853
745,9,0.122652
746,9,0.125944
747,9,0.115980
748,9,0.126476
749,9,0.125896
750,9,0.127107
751,9,0.126727
752,9,0.127091
753,9,0.127101
754,9,0.126965
755,9,0.121625
756,9,0.122231
757,9,0.123037
758,9,0.123793
759,9,0.121347
760,9,0.120227
761,9,0.119715
762,9,0.118687
763,9,0.113766
764,9,0.113477
765,9,0.113363
766,9,0.113247
767,9,0.113274
768,9,0.113267
769,9,0.113829
770,9,0.113910
771,9,0.113649
772,9,0.113447
773,9,0.113407
774,9,0.113358
775,9,0.113210
776,9,0.113488
777,9,0.113347
778,9,0.113419
779,9,0.113413
780,9,0.113010
781,9,0.113074
782,8,0.112757
783,8,0.113330
784,8,0.113456
785,8,0.113299
786,8,0.113433
787,8,0.113485
788,8,0.113514
789,8,0.113473
790,8,0.113384
791,8,0.113492
792,8,0.113988
793,8,0.114461
794,8,0.114526
795,8,0.114884
796,8,0.115175
797,8,0.114952
798,8,0.114736
799,8,0.115044
800,8,0.115388
801,8,0.115611
802,8,0.115690
803,8,0.115915
804,8,0.116083
805,8,0.116069
806,8,0.116399
807,8,0.116461
808,8,0.116772
809,8,0.116787
810,8,0.116797
811,8,0.117040
812,8,0.117520
813,8,0.117964
814,8,0.118019
815,8,0.118498
816,8,0.118357
817,8,0.118296
818,8,0.118411
819,8,0.118683
820,8,0.118861
821,8,0.129355
822,8,0.119346
823,8,0.119822
824,8,0.120347
825,8,0.120149
826,8,0.120283
827,8,0.120049
828,8,0.120687
829,8,0.120523
830,8,0.120261
831,8,0.120072
832,8,0.120412
833,8,0.123120
834,8,0.123189
835,8,0.123523
836,8,0.123086
837,8,0.122821
838,8,0.123043
839,8,0.122806
840,8,0.122964
841,8,0.122678
842,8,0.122686
843,8,0.122886
844,8,0.122824
845,8,0.122982
846,8,0.123820
847,8,0.123619
848,8,0.123719
849,8,0.123664
850,8,0.124019
851,8,0.124079
852,8,0.123987
853,8,0.124049
854,8,0.124034
855,8,0.124209
856,8,0.124535
857,8,0.124416
858,8,0.124617
859,8,0.124875
860,8,0.124934
861,8,0.125210
862,8,0.125251
863,8,0.125655
864,8,0.125655
865,8,0.126477
866,8,0.126467
867,8,0.126422
868,8,0.126568
869,8,0.126514
870,8,0.126530
871,8,0.126681
872,8,0.126300
873,8,0.125996
874,8,0.126187
875,8,0.126025
876,8,0.125937
877,8,0.125671
878,8,0.125751
879,8,0.125499
880,8,0.125604
881,8,0.125416
882,8,0.125609
883,8,0.125517
884,8,0.125425
885,8,0.125269
886,8,0.125096
887,8,0.125030
888,8,0.125053
889,8,0.124332
890,8,0.124603
891,8,0.124723
892,8,0.124741
893,7,0.124814
894,7,0.124744
895,7,0.124785
896,7,0.124953
897,7,0.125408
898,7,0.125288
899,7,0.125255
900,7,0.125234
901,7,0.125349
902,7,0.125273
903,7,0.125356
904,7,0.125442
905,7,0.125222
906,7,0.125080
907,7,0.124994
908,7,0.124741
909,7,0.124874
910,7,0.124805
911,7,0.124864
912,7,0.124257
913,7,0.124503
