ThreadsPerBlock,Blocks,AvgTimeMs
1,6249,0.453318
2,3125,0.151711
3,2083,0.099577
4,1563,0.068517
5,1250,0.054509
6,1042,0.050214
7,893,0.045037
8,782,0.039064
9,695,0.034489
10,625,0.034073
11,569,0.033811
12,521,0.033814
13,481,0.036420
14,447,0.035284
15,417,0.028686
16,391,0.028366
17,368,0.028079
18,348,0.027657
19,329,0.027127
20,313,0.027498
21,298,0.026232
22,285,0.026071
23,272,0.026145
24,261,0.026021
25,250,0.028813
26,241,0.023180
27,232,0.023322
28,224,0.022640
29,216,0.027404
30,209,0.027059
31,202,0.022760
32,196,0.021980
33,190,0.025081
34,184,0.025475
35,179,0.025235
36,174,0.026084
37,169,0.024975
38,165,0.024699
39,161,0.024375
40,157,0.024302
41,153,0.024152
42,149,0.023981
43,146,0.023812
44,143,0.023944
45,139,0.023516
46,136,0.023388
47,133,0.023132
48,131,0.023059
49,128,0.023150
50,125,0.024288
51,123,0.023091
52,121,0.022927
53,118,0.022745
54,116,0.022900
55,114,0.022756
56,112,0.022757
57,110,0.022544
58,108,0.024228
59,106,0.022292
60,105,0.023484
61,103,0.022165
62,101,0.021818
63,100,0.022262
64,98,0.022033
65,97,0.024113
66,95,0.024610
67,94,0.023840
68,92,0.024191
69,91,0.023880
70,90,0.024742
71,89,0.023544
72,87,0.024087
73,86,0.023514
74,85,0.023052
75,84,0.023093
76,83,0.023419
77,82,0.023575
78,81,0.023232
79,80,0.022925
80,79,0.022865
81,78,0.023100
82,77,0.023165
83,76,0.023274
84,75,0.022824
85,74,0.022780
86,73,0.022954
87,72,0.023382
88,72,0.023092
89,71,0.022951
90,70,0.022538
91,69,0.022537
92,68,0.022443
93,68,0.022132
94,67,0.022333
95,66,0.025039
96,66,0.020944
97,65,0.022161
98,64,0.022580
99,64,0.023062
100,63,0.023172
101,62,0.023033
102,62,0.022343
103,61,0.021939
104,61,0.021930
105,60,0.021635
106,59,0.021876
107,59,0.021890
108,58,0.021493
109,58,0.021670
110,57,0.021525
111,57,0.021450
112,56,0.021293
113,56,0.021531
114,55,0.021840
115,55,0.021480
116,54,0.021156
117,54,0.021097
118,53,0.021065
119,53,0.021133
120,53,0.020755
121,52,0.020909
122,52,0.021131
123,51,0.020600
124,51,0.020677
125,50,0.020739
126,50,0.021072
127,50,0.021072
128,49,0.021253
129,49,0.022630
130,49,0.022951
131,48,0.023075
132,48,0.022812
133,47,0.023026
134,47,0.023071
135,47,0.022169
136,46,0.021906
137,46,0.021753
138,46,0.021644
139,45,0.021874
140,45,0.021575
141,45,0.021438
142,45,0.021523
143,44,0.021481
144,44,0.021444
145,44,0.021478
146,43,0.021336
147,43,0.021046
148,43,0.021026
149,42,0.021172
150,42,0.021430
151,42,0.021955
152,42,0.021443
153,41,0.021164
154,41,0.020907
155,41,0.020991
156,41,0.020820
157,40,0.020883
158,40,0.020889
159,40,0.021111
160,40,0.020942
161,39,0.021566
162,39,0.021854
163,39,0.021883
164,39,0.021828
165,38,0.022048
166,38,0.021768
167,38,0.021876
168,38,0.021652
169,37,0.021697
170,37,0.021591
171,37,0.021666
172,37,0.021531
173,37,0.021716
174,36,0.021719
175,36,0.022063
176,36,0.021887
177,36,0.021880
178,36,0.021780
179,35,0.021725
180,35,0.021825
181,35,0.021996
182,35,0.021772
183,35,0.021930
184,34,0.021949
185,34,0.021908
186,34,0.021915
187,34,0.022192
188,34,0.022072
189,34,0.022458
190,33,0.022485
191,33,0.022320
192,33,0.022517
193,33,0.023005
194,33,0.023367
195,33,0.023470
196,32,0.023638
197,32,0.023646
198,32,0.023340
199,32,0.023399
200,32,0.023432
201,32,0.023201
202,31,0.022662
203,31,0.022483
204,31,0.022394
205,31,0.022207
206,31,0.021965
207,31,0.021905
208,31,0.021608
209,30,0.021623
210,30,0.021779
211,30,0.021620
212,30,0.021486
213,30,0.021164
214,30,0.021255
215,30,0.021094
216,29,0.021062
217,29,0.021140
218,29,0.020964
219,29,0.020830
220,29,0.020828
221,29,0.020910
222,29,0.021056
223,29,0.021140
224,28,0.021004
225,28,0.022185
226,28,0.022466
227,28,0.022338
228,28,0.022410
229,28,0.022570
230,28,0.022179
231,28,0.022251
232,27,0.022017
233,27,0.021908
234,27,0.021935
235,27,0.021713
236,27,0.021736
237,27,0.021823
238,27,0.021754
239,27,0.021636
240,27,0.021730
241,26,0.021709
242,26,0.021553
243,26,0.021608
244,26,0.022110
245,26,0.021969
246,26,0.021738
247,26,0.021580
248,26,0.021322
249,26,0.021099
250,25,0.021184
251,25,0.021046
252,25,0.021098
253,25,0.021114
254,25,0.021036
255,25,0.021212
256,25,0.021184
257,25,0.021270
258,25,0.021500
259,25,0.021223
260,25,0.021404
261,24,0.021612
262,24,0.021466
263,24,0.021384
264,24,0.021476
265,24,0.021640
266,24,0.021396
267,24,0.021430
268,24,0.021567
269,24,0.021718
270,24,0.021650
271,24,0.021566
272,23,0.021499
273,23,0.021613
274,23,0.021629
275,23,0.021732
276,23,0.021877
277,23,0.021794
278,23,0.022061
279,23,0.022057
280,23,0.022047
281,23,0.022095
282,23,0.022073
283,23,0.022059
284,23,0.021981
285,22,0.022045
286,22,0.022236
287,22,0.022082
288,22,0.022014
289,22,0.022331
290,22,0.022064
291,22,0.021863
292,22,0.022249
293,22,0.022201
294,22,0.022055
295,22,0.022754
296,22,0.022412
297,22,0.022048
298,21,0.022198
299,21,0.022219
300,21,0.021892
301,21,0.021701
302,21,0.021386
303,21,0.021292
304,21,0.021152
305,21,0.020840
306,21,0.020851
307,21,0.020824
308,21,0.020735
309,21,0.020751
310,21,0.020665
311,21,0.020420
312,21,0.020412
313,20,0.020685
314,20,0.020985
315,20,0.020738
316,20,0.020800
317,20,0.020827
318,20,0.020802
319,20,0.020977
320,20,0.020800
321,20,0.020964
322,20,0.021051
323,20,0.021125
324,20,0.021126
325,20,0.021138
326,20,0.021212
327,20,0.021237
328,20,0.021308
329,19,0.021246
330,19,0.021258
331,19,0.021286
332,19,0.021397
333,19,0.021416
334,19,0.021307
335,19,0.021251
336,19,0.021283
337,19,0.021240
338,19,0.021238
339,19,0.021148
340,19,0.021190
341,19,0.021214
342,19,0.021174
343,19,0.021269
344,19,0.021223
345,19,0.021234
346,19,0.021159
347,19,0.021265
348,18,0.021299
349,18,0.021450
350,18,0.021533
351,18,0.021447
352,18,0.021562
353,18,0.022180
354,18,0.022080
355,18,0.022032
356,18,0.022097
357,18,0.022091
358,18,0.022052
359,18,0.022009
360,18,0.021998
361,18,0.021986
362,18,0.022035
363,18,0.022058
364,18,0.022173
365,18,0.022036
366,18,0.021772
367,18,0.021807
368,17,0.021843
369,17,0.021985
370,17,0.021947
371,17,0.022045
372,17,0.021995
373,17,0.022152
374,17,0.022218
375,17,0.022178
376,17,0.022161
377,17,0.022379
378,17,0.022373
379,17,0.022480
380,17,0.022728
381,17,0.022917
382,17,0.022984
383,17,0.022689
384,17,0.022784
385,17,0.023442
386,17,0.023196
387,17,0.023382
388,17,0.023321
389,17,0.023338
390,17,0.023335
391,16,0.023364
392,16,0.023358
393,16,0.023427
394,16,0.023520
395,16,0.023515
396,16,0.023890
397,16,0.024095
398,16,0.024056
399,16,0.023977
400,16,0.023943
401,16,0.024160
402,16,0.024171
403,16,0.024162
404,16,0.024270
405,16,0.024428
406,16,0.024369
407,16,0.024151
408,16,0.023899
409,16,0.023748
410,16,0.023712
411,16,0.023861
412,16,0.023833
413,16,0.024016
414,16,0.023861
415,16,0.023793
416,16,0.024069
417,15,0.024352
418,15,0.024483
419,15,0.024091
420,15,0.024170
421,15,0.023972
422,15,0.024120
423,15,0.023458
424,15,0.023172
425,15,0.023211
426,15,0.023092
427,15,0.022904
428,15,0.022058
429,15,0.021692
430,15,0.021745
431,15,0.021803
432,15,0.021568
433,15,0.021652
434,15,0.021881
435,15,0.022094
436,15,0.022151
437,15,0.022124
438,15,0.022052
439,15,0.021804
440,15,0.021594
441,15,0.021355
442,15,0.021097
443,15,0.020867
444,15,0.020873
445,15,0.020780
446,15,0.020851
447,14,0.020747
448,14,0.020809
449,14,0.021045
450,14,0.020972
451,14,0.020889
452,14,0.020743
453,14,0.020742
454,14,0.020732
455,14,0.020665
456,14,0.020544
457,14,0.020467
458,14,0.020511
459,14,0.020405
460,14,0.020364
461,14,0.020327
462,14,0.020292
463,14,0.020277
464,14,0.020272
465,14,0.020198
466,14,0.020140
467,14,0.020185
468,14,0.020202
469,14,0.020156
470,14,0.020148
471,14,0.020176
472,14,0.020103
473,14,0.020131
474,14,0.020010
475,14,0.019900
476,14,0.019935
477,14,0.019927
478,14,0.019902
479,14,0.019843
480,14,0.019855
481,13,0.020178
482,13,0.020052
483,13,0.020133
484,13,0.020241
485,13,0.020167
486,13,0.020156
487,13,0.020023
488,13,0.020040
489,13,0.020016
490,13,0.019950
491,13,0.019951
492,13,0.019928
493,13,0.019932
494,13,0.019945
495,13,0.019934
496,13,0.019989
497,13,0.020012
498,13,0.019965
499,13,0.020004
500,13,0.020032
501,13,0.020010
502,13,0.020048
503,13,0.020099
504,13,0.020119
505,13,0.020103
506,13,0.020094
507,13,0.020108
508,13,0.020109
509,13,0.020172
510,13,0.020184
511,13,0.020220
